"","fecha","rank","artista","cancion"
"1",2017-09-16,1,"Taylor Swift","Tate McRae Covers This Deep Cut From Taylor Swift's 'Folklore' During Soundcheck"
"2",2017-09-16,2,"Luis Fonsi & Daddy Yankee Featuring Justin Bieber","Look What You Made Me Do"
"3",2017-09-16,3,"Cardi B","Despacito"
"4",2017-09-16,4,"DJ Khaled Featuring Rihanna & Bryson Tiller","Bodak Yellow (Money Moves)"
"5",2017-09-16,5,"Charlie Puth","Wild Thoughts"
"6",2017-09-16,6,"Imagine Dragons","Attention"
"7",2017-09-16,7,"French Montana Featuring Swae Lee","Believer"
"8",2017-09-16,8,"Shawn Mendes","Unforgettable"
"9",2017-09-16,9,"Logic Featuring Alessia Cara & Khalid","There's Nothing Holdin' Me Back"
"10",2017-09-16,10,"Liam Payne Featuring Quavo","1-800-273-8255"
"11",2017-09-16,11,"Ed Sheeran","Strip That Down"
"12",2017-09-16,12,"21 Savage","Shape Of You"
"13",2017-09-16,13,"Yo Gotti Featuring Nicki Minaj","Bank Account"
"14",2017-09-16,14,"Kendrick Lamar","Rake It Up"
"15",2017-09-16,15,"Niall Horan","Humble."
"16",2017-09-16,16,"Lil Uzi Vert","Slow Hands"
"17",2017-09-16,17,"Bruno Mars","XO TOUR Llif3"
"18",2017-09-16,18,"Demi Lovato","That's What I Like"
"19",2017-09-16,19,"Sam Hunt","Sorry Not Sorry"
"20",2017-09-16,20,"Portugal. The Man","Body Like A Back Road"
"21",2017-09-16,21,"Post Malone Featuring Quavo","Feel It Still"
"22",2017-09-16,22,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean","Congratulations"
"23",2017-09-16,23,"J Balvin & Willy William Featuring Beyonce","Feels"
"24",2017-09-16,24,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","Mi Gente"
"25",2017-09-16,25,"Childish Gambino","I'm The One"
"26",2017-09-16,26,"The Chainsmokers & Coldplay","Redbone"
"27",2017-09-16,27,"Kesha","Something Just Like This"
"28",2017-09-16,28,"P!nk","Praying"
"29",2017-09-16,29,"Khalid","What About Us"
"30",2017-09-16,30,"Zedd & Alessia Cara","Location"
"31",2017-09-16,31,"XXXTENTACION","Stay"
"32",2017-09-16,32,"Khalid","Jocelyn Flores"
"33",2017-09-16,33,"Justin Bieber + BloodPop","Young Dumb & Broke"
"34",2017-09-16,34,"James Arthur","Friends"
"35",2017-09-16,35,"Kendrick Lamar Featuring Rihanna","Say You Won't Let Go"
"36",2017-09-16,36,"SZA Featuring Travis Scott","Loyalty."
"37",2017-09-16,37,"Future","Love Galore"
"38",2017-09-16,38,"Dustin Lynch","Mask Off"
"39",2017-09-16,39,"Lil Uzi Vert Featuring Nicki Minaj","Small Town Boy"
"40",2017-09-16,40,"Kane Brown Featuring Lauren Alaina","The Way Life Goes"
"41",2017-09-16,41,"XXXTENTACION Featuring Trippie Redd","What Ifs"
"42",2017-09-16,42,"Gucci Mane Featuring Migos","F**k Love"
"43",2017-09-16,43,"Cheat Codes Featuring Demi Lovato","I Get The Bag"
"44",2017-09-16,44,"Kygo x Selena Gomez","No Promises"
"45",2017-09-16,45,"Imagine Dragons","It Ain't Me"
"46",2017-09-16,46,"Old Dominion","Thunder"
"47",2017-09-16,47,"Katy Perry Featuring Nicki Minaj","No Such Thing As A Broken Heart"
"48",2017-09-16,48,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko","Swish Swish"
"49",2017-09-16,49,"Lil Uzi Vert","It's A Vibe"
"50",2017-09-16,50,"blackbear","Sauce It Up"
"51",2017-09-16,51,"GoldLink Featuring Brent Faiyaz & Shy Glizzy","Do Re Mi"
"52",2017-09-16,52,"Marshmello Featuring Khalid","Crew"
"53",2017-09-16,53,"Playboi Carti","Silence"
"54",2017-09-16,54,"XXXTENTACION","Magnolia"
"55",2017-09-16,55,"Kodak Black","Everybody Dies In Their Nightmares"
"56",2017-09-16,56,"Luke Combs","Transportin'"
"57",2017-09-16,57,"Jon Pardi","When It Rains It Pours"
"58",2017-09-16,58,"Selena Gomez Featuring Gucci Mane","Heartache On The Dance Floor"
"59",2017-09-16,59,"Travis Scott","Fetish"
"60",2017-09-16,60,"Lil Uzi Vert","Butterfly Effect"
"61",2017-09-16,61,"Kodak Black Featuring XXXTENTACION","444+222"
"62",2017-09-16,62,"Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals","Roll In Peace"
"63",2017-09-16,63,"Kendrick Lamar","Back To You"
"64",2017-09-16,64,"Tay-K","DNA."
"65",2017-09-16,65,"Thomas Rhett","The Race"
"66",2017-09-16,66,"Midland","Unforgettable"
"67",2017-09-16,67,"Dua Lipa","Drinkin' Problem"
"68",2017-09-16,68,"SZA","New Rules"
"69",2017-09-16,69,"Macklemore Featuring Skylar Grey","The Weekend"
"70",2017-09-16,70,"Maluma","Glorious"
"71",2017-09-16,71,"Bruno Mars","Felices Los 4"
"72",2017-09-16,72,"Wisin Featuring Ozuna","Versace On The Floor"
"73",2017-09-16,73,"Maroon 5 Featuring SZA","Escapate Conmigo"
"74",2017-09-16,74,"Meek Mill Featuring Chris Brown & Ty Dolla $ign","What Lovers Do"
"75",2017-09-16,75,"Kenny Chesney","Whatever You Need"
"76",2017-09-16,76,"Luke Bryan","All The Pretty Girls"
"77",2017-09-16,77,"XXXTENTACION","Light It Up"
"78",2017-09-16,78,"Billy Currington","Revenge"
"79",2017-09-16,79,"Lil Uzi Vert Featuring Pharrell Williams","Do I Make You Wanna"
"80",2017-09-16,80,"Lil Uzi Vert","Neon Guts"
"81",2017-09-16,81,"Lil Uzi Vert","Two"
"82",2017-09-16,82,"Lil Uzi Vert","X"
"83",2017-09-16,83,"Camila Cabello Featuring Young Thug","For Real"
"84",2017-09-16,84,"Lil Uzi Vert Featuring The Weeknd","Havana"
"85",2017-09-16,85,"Kendrick Lamar Featuring Zacari","UnFazed"
"86",2017-09-16,86,"Jacquees","Love."
"87",2017-09-16,87,"Hailee Steinfeld","B.E.D."
"88",2017-09-16,88,"Dylan Scott","Most Girls"
"89",2017-09-16,89,"Jason Aldean","My Girl"
"90",2017-09-16,90,"Lil Uzi Vert","They Don't Know"
"91",2017-09-16,91,"XXXTENTACION","No Sleep Leak"
"92",2017-09-16,92,"Lil Uzi Vert","Depression & Obsession"
"93",2017-09-16,93,"Carly Pearce","Dark Queen"
"94",2017-09-16,94,"XXXTENTACION","Every Little Thing"
"95",2017-09-16,95,"XXXTENTACION","Save Me"
"96",2017-09-16,96,"The Revivalists","Carry On"
"97",2017-09-16,97,"Demi Lovato","Wish I Knew You"
"98",2017-09-16,98,"Kip Moore","Tell Me You Love Me"
"99",2017-09-16,99,"Fifth Harmony Featuring Gucci Mane","More Girls Like You"
"100",2017-09-16,100,"Brothers Osborne","Down"
"101",2017-09-23,1,"Taylor Swift","Tate McRae Covers This Deep Cut From Taylor Swift's 'Folklore' During Soundcheck"
"102",2017-09-23,2,"Cardi B","Look What You Made Me Do"
"103",2017-09-23,3,"Luis Fonsi & Daddy Yankee Featuring Justin Bieber","Bodak Yellow (Money Moves)"
"104",2017-09-23,4,"Taylor Swift","Despacito"
"105",2017-09-23,5,"Logic Featuring Alessia Cara & Khalid","...Ready For It?"
"106",2017-09-23,6,"DJ Khaled Featuring Rihanna & Bryson Tiller","1-800-273-8255"
"107",2017-09-23,7,"Charlie Puth","Wild Thoughts"
"108",2017-09-23,8,"Imagine Dragons","Attention"
"109",2017-09-23,9,"French Montana Featuring Swae Lee","Believer"
"110",2017-09-23,10,"Shawn Mendes","Unforgettable"
"111",2017-09-23,11,"Yo Gotti Featuring Nicki Minaj","There's Nothing Holdin' Me Back"
"112",2017-09-23,12,"21 Savage","Rake It Up"
"113",2017-09-23,13,"Demi Lovato","Bank Account"
"114",2017-09-23,14,"Liam Payne Featuring Quavo","Sorry Not Sorry"
"115",2017-09-23,15,"Niall Horan","Strip That Down"
"116",2017-09-23,16,"Ed Sheeran","Slow Hands"
"117",2017-09-23,17,"Bruno Mars","Shape Of You"
"118",2017-09-23,18,"Portugal. The Man","That's What I Like"
"119",2017-09-23,19,"Lil Uzi Vert","Feel It Still"
"120",2017-09-23,20,"Sam Hunt","XO TOUR Llif3"
"121",2017-09-23,21,"Kendrick Lamar","Body Like A Back Road"
"122",2017-09-23,22,"J Balvin & Willy William Featuring Beyonce","Humble."
"123",2017-09-23,23,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean","Mi Gente"
"124",2017-09-23,24,"Post Malone Featuring Quavo","Feels"
"125",2017-09-23,25,"The Chainsmokers & Coldplay","Congratulations"
"126",2017-09-23,26,"Kesha","Something Just Like This"
"127",2017-09-23,27,"Maroon 5 Featuring SZA","Praying"
"128",2017-09-23,28,"Childish Gambino","What Lovers Do"
"129",2017-09-23,29,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","Redbone"
"130",2017-09-23,30,"Khalid","I'm The One"
"131",2017-09-23,31,"Gucci Mane Featuring Migos","Location"
"132",2017-09-23,32,"P!nk","I Get The Bag"
"133",2017-09-23,33,"Khalid","What About Us"
"134",2017-09-23,34,"Zedd & Alessia Cara","Young Dumb & Broke"
"135",2017-09-23,35,"Justin Bieber + BloodPop","Stay"
"136",2017-09-23,36,"Kendrick Lamar Featuring Rihanna","Friends"
"137",2017-09-23,37,"SZA Featuring Travis Scott","Loyalty."
"138",2017-09-23,38,"XXXTENTACION","Love Galore"
"139",2017-09-23,39,"James Arthur","Jocelyn Flores"
"140",2017-09-23,40,"Kane Brown Featuring Lauren Alaina","Say You Won't Let Go"
"141",2017-09-23,41,"Dustin Lynch","What Ifs"
"142",2017-09-23,42,"Cheat Codes Featuring Demi Lovato","Small Town Boy"
"143",2017-09-23,43,"Future","No Promises"
"144",2017-09-23,44,"Tay-K","Mask Off"
"145",2017-09-23,45,"Imagine Dragons","The Race"
"146",2017-09-23,46,"Kodak Black","Thunder"
"147",2017-09-23,47,"Lil Uzi Vert Featuring Nicki Minaj","Transportin'"
"148",2017-09-23,48,"Luke Combs","The Way Life Goes"
"149",2017-09-23,49,"XXXTENTACION Featuring Trippie Redd","When It Rains It Pours"
"150",2017-09-23,50,"blackbear","F**k Love"
"151",2017-09-23,51,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko","Do Re Mi"
"152",2017-09-23,52,"GoldLink Featuring Brent Faiyaz & Shy Glizzy","It's A Vibe"
"153",2017-09-23,53,"Kodak Black Featuring XXXTENTACION","Crew"
"154",2017-09-23,54,"Marshmello Featuring Khalid","Roll In Peace"
"155",2017-09-23,55,"Katy Perry Featuring Nicki Minaj","Silence"
"156",2017-09-23,56,"Jon Pardi","Swish Swish"
"157",2017-09-23,57,"Lil Uzi Vert","Heartache On The Dance Floor"
"158",2017-09-23,58,"Travis Scott","Sauce It Up"
"159",2017-09-23,59,"Old Dominion","Butterfly Effect"
"160",2017-09-23,60,"Playboi Carti","No Such Thing As A Broken Heart"
"161",2017-09-23,61,"SZA","Magnolia"
"162",2017-09-23,62,"Dua Lipa","The Weekend"
"163",2017-09-23,63,"Thomas Rhett","New Rules"
"164",2017-09-23,64,"Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals","Unforgettable"
"165",2017-09-23,65,"Selena Gomez Featuring Gucci Mane","Back To You"
"166",2017-09-23,66,"Maluma","Fetish"
"167",2017-09-23,67,"Kenny Chesney","Felices Los 4"
"168",2017-09-23,68,"Macklemore Featuring Skylar Grey","All The Pretty Girls"
"169",2017-09-23,69,"Jacquees","Glorious"
"170",2017-09-23,70,"XXXTENTACION","B.E.D."
"171",2017-09-23,71,"Bruno Mars","Everybody Dies In Their Nightmares"
"172",2017-09-23,72,"Meek Mill Featuring Chris Brown & Ty Dolla $ign","Versace On The Floor"
"173",2017-09-23,73,"Camila Cabello Featuring Young Thug","Whatever You Need"
"174",2017-09-23,74,"Wisin Featuring Ozuna","Havana"
"175",2017-09-23,75,"Midland","Escapate Conmigo"
"176",2017-09-23,76,"Jason Aldean","Drinkin' Problem"
"177",2017-09-23,77,"Bhad Bhabie","They Don't Know"
"178",2017-09-23,78,"Carly Pearce","These Heaux"
"179",2017-09-23,79,"Lil Uzi Vert","Every Little Thing"
"180",2017-09-23,80,"Billy Currington","444+222"
"181",2017-09-23,81,"Halsey","Do I Make You Wanna"
"182",2017-09-23,82,"Kip Moore","Bad At Love"
"183",2017-09-23,83,"Brothers Osborne","More Girls Like You"
"184",2017-09-23,84,"The Revivalists","It Ain't My Fault"
"185",2017-09-23,85,"Luke Bryan","Wish I Knew You"
"186",2017-09-23,86,"LANCO","Light It Up"
"187",2017-09-23,87,"Dylan Scott","Greatest Love Story"
"188",2017-09-23,88,"Hailee Steinfeld","My Girl"
"189",2017-09-23,89,"Chris Brown","Most Girls"
"190",2017-09-23,90,"Young Thug Featuring Future","Questions"
"191",2017-09-23,91,"Lil Uzi Vert","Relationship"
"192",2017-09-23,92,"Maren Morris","Dark Queen"
"193",2017-09-23,93,"Lil Uzi Vert","I Could Use A Love Song"
"194",2017-09-23,94,"Lil Uzi Vert Featuring Pharrell Williams","X"
"195",2017-09-23,95,"Chris Janson","Neon Guts"
"196",2017-09-23,96,"XXXTENTACION","Fix A Drink"
"197",2017-09-23,97,"Miguel Featuring Travis Scott","Revenge"
"198",2017-09-23,98,"Justin Moore","Sky Walker"
"199",2017-09-23,99,"The Weeknd","Somebody Else Will"
"200",2017-09-23,100,"DeJ Loaf","Reminder"
"201",2017-09-30,1,"Taylor Swift","Tate McRae Covers This Deep Cut From Taylor Swift's 'Folklore' During Soundcheck"
"202",2017-09-30,2,"Cardi B","Look What You Made Me Do"
"203",2017-09-30,3,"Logic Featuring Alessia Cara & Khalid","Bodak Yellow (Money Moves)"
"204",2017-09-30,4,"Luis Fonsi & Daddy Yankee Featuring Justin Bieber","1-800-273-8255"
"205",2017-09-30,5,"Sam Smith","Despacito"
"206",2017-09-30,6,"DJ Khaled Featuring Rihanna & Bryson Tiller","Too Good At Goodbyes"
"207",2017-09-30,7,"French Montana Featuring Swae Lee","Wild Thoughts"
"208",2017-09-30,8,"Charlie Puth","Unforgettable"
"209",2017-09-30,9,"Imagine Dragons","Attention"
"210",2017-09-30,10,"Shawn Mendes","Believer"
"211",2017-09-30,11,"Niall Horan","There's Nothing Holdin' Me Back"
"212",2017-09-30,12,"Liam Payne Featuring Quavo","Slow Hands"
"213",2017-09-30,13,"Demi Lovato","Strip That Down"
"214",2017-09-30,14,"Portugal. The Man","Sorry Not Sorry"
"215",2017-09-30,15,"21 Savage","Feel It Still"
"216",2017-09-30,16,"Yo Gotti Featuring Nicki Minaj","Bank Account"
"217",2017-09-30,17,"Ed Sheeran","Rake It Up"
"218",2017-09-30,18,"Bruno Mars","Shape Of You"
"219",2017-09-30,19,"J Balvin & Willy William Featuring Beyonce","That's What I Like"
"220",2017-09-30,20,"Lil Uzi Vert","Mi Gente"
"221",2017-09-30,21,"Taylor Swift","XO TOUR Llif3"
"222",2017-09-30,22,"Sam Hunt","...Ready For It?"
"223",2017-09-30,23,"Kendrick Lamar","Body Like A Back Road"
"224",2017-09-30,24,"Gucci Mane Featuring Migos","Humble."
"225",2017-09-30,25,"Kesha","I Get The Bag"
"226",2017-09-30,26,"Khalid","Praying"
"227",2017-09-30,27,"The Chainsmokers & Coldplay","Young Dumb & Broke"
"228",2017-09-30,28,"Khalid","Something Just Like This"
"229",2017-09-30,29,"Maroon 5 Featuring SZA","Location"
"230",2017-09-30,30,"P!nk","What Lovers Do"
"231",2017-09-30,31,"Childish Gambino","What About Us"
"232",2017-09-30,32,"Kane Brown Featuring Lauren Alaina","Redbone"
"233",2017-09-30,33,"Post Malone Featuring Quavo","What Ifs"
"234",2017-09-30,34,"Justin Bieber + BloodPop","Congratulations"
"235",2017-09-30,35,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","Friends"
"236",2017-09-30,36,"SZA Featuring Travis Scott","I'm The One"
"237",2017-09-30,37,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean","Love Galore"
"238",2017-09-30,38,"Dustin Lynch","Feels"
"239",2017-09-30,39,"Kendrick Lamar Featuring Rihanna","Small Town Boy"
"240",2017-09-30,40,"Imagine Dragons","Loyalty."
"241",2017-09-30,41,"Zedd & Alessia Cara","Thunder"
"242",2017-09-30,42,"XXXTENTACION","Stay"
"243",2017-09-30,43,"James Arthur","Jocelyn Flores"
"244",2017-09-30,44,"Zayn Featuring Sia","Say You Won't Let Go"
"245",2017-09-30,45,"Cheat Codes Featuring Demi Lovato","Dusk Till Dawn"
"246",2017-09-30,46,"Future","No Promises"
"247",2017-09-30,47,"Thomas Rhett","Mask Off"
"248",2017-09-30,48,"Tay-K","Unforgettable"
"249",2017-09-30,49,"Luke Combs","The Race"
"250",2017-09-30,50,"blackbear","When It Rains It Pours"
"251",2017-09-30,51,"GoldLink Featuring Brent Faiyaz & Shy Glizzy","Do Re Mi"
"252",2017-09-30,52,"Jon Pardi","Crew"
"253",2017-09-30,53,"Kodak Black Featuring XXXTENTACION","Heartache On The Dance Floor"
"254",2017-09-30,54,"SZA","Roll In Peace"
"255",2017-09-30,55,"Lil Uzi Vert Featuring Nicki Minaj","The Weekend"
"256",2017-09-30,56,"Dua Lipa","The Way Life Goes"
"257",2017-09-30,57,"XXXTENTACION Featuring Trippie Redd","New Rules"
"258",2017-09-30,58,"Kodak Black","F**k Love"
"259",2017-09-30,59,"Marshmello Featuring Khalid","Transportin'"
"260",2017-09-30,60,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko","Silence"
"261",2017-09-30,61,"Travis Scott","It's A Vibe"
"262",2017-09-30,62,"Kelly Clarkson","Butterfly Effect"
"263",2017-09-30,63,"Playboi Carti","Love So Soft"
"264",2017-09-30,64,"Camila Cabello Featuring Young Thug","Magnolia"
"265",2017-09-30,65,"Macklemore Featuring Skylar Grey","Havana"
"266",2017-09-30,66,"Kenny Chesney","Glorious"
"267",2017-09-30,67,"Lil Uzi Vert","All The Pretty Girls"
"268",2017-09-30,68,"Old Dominion","Sauce It Up"
"269",2017-09-30,69,"Jacquees","No Such Thing As A Broken Heart"
"270",2017-09-30,70,"Maluma","B.E.D."
"271",2017-09-30,71,"Halsey","Felices Los 4"
"272",2017-09-30,72,"Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals","Bad At Love"
"273",2017-09-30,73,"Blake Shelton","Back To You"
"274",2017-09-30,74,"Selena Gomez Featuring Gucci Mane","I'll Name The Dogs"
"275",2017-09-30,75,"Wisin Featuring Ozuna","Fetish"
"276",2017-09-30,76,"Meek Mill Featuring Chris Brown & Ty Dolla $ign","Escapate Conmigo"
"277",2017-09-30,77,"Jason Aldean","Whatever You Need"
"278",2017-09-30,78,"Carly Pearce","They Don't Know"
"279",2017-09-30,79,"XXXTENTACION","Every Little Thing"
"280",2017-09-30,80,"Kane Brown","Everybody Dies In Their Nightmares"
"281",2017-09-30,81,"Lil Pump","Found You"
"282",2017-09-30,82,"LANCO","Gucci Gang"
"283",2017-09-30,83,"Bruno Mars","Greatest Love Story"
"284",2017-09-30,84,"Midland","Versace On The Floor"
"285",2017-09-30,85,"G-Eazy Featuring A$AP Rocky & Cardi B","Drinkin' Problem"
"286",2017-09-30,86,"Kip Moore","No Limit"
"287",2017-09-30,87,"Bhad Bhabie","More Girls Like You"
"288",2017-09-30,88,"Young Thug Featuring Future","These Heaux"
"289",2017-09-30,89,"Chris Brown","Relationship"
"290",2017-09-30,90,"Billy Currington","Questions"
"291",2017-09-30,91,"Luke Bryan","Do I Make You Wanna"
"292",2017-09-30,92,"Katy Perry Featuring Nicki Minaj","Light It Up"
"293",2017-09-30,93,"The Revivalists","Swish Swish"
"294",2017-09-30,94,"Brothers Osborne","Wish I Knew You"
"295",2017-09-30,95,"Maren Morris","It Ain't My Fault"
"296",2017-09-30,96,"Chris Janson","I Could Use A Love Song"
"297",2017-09-30,97,"Metro Boomin Featuring Offset & Drake","Fix A Drink"
"298",2017-09-30,98,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black","No Complaints"
"299",2017-09-30,99,"Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt","Pills And Automobiles"
"300",2017-09-30,100,"Lil Uzi Vert","Let Me Go"
"301",2017-10-07,1,"Cardi B","Cardi B & NFL Star Stefon Diggs Get Cozy at New York Knicks Game Amid Dating Rumors"
"302",2017-10-07,2,"Post Malone Featuring 21 Savage","Bodak Yellow (Money Moves)"
"303",2017-10-07,3,"Taylor Swift","Rockstar"
"304",2017-10-07,4,"Logic Featuring Alessia Cara & Khalid","Look What You Made Me Do"
"305",2017-10-07,5,"Luis Fonsi & Daddy Yankee Featuring Justin Bieber","1-800-273-8255"
"306",2017-10-07,6,"French Montana Featuring Swae Lee","Despacito"
"307",2017-10-07,7,"Imagine Dragons","Unforgettable"
"308",2017-10-07,8,"Yo Gotti Featuring Nicki Minaj","Believer"
"309",2017-10-07,9,"Charlie Puth","Rake It Up"
"310",2017-10-07,10,"Portugal. The Man","Attention"
"311",2017-10-07,11,"Niall Horan","Feel It Still"
"312",2017-10-07,12,"DJ Khaled Featuring Rihanna & Bryson Tiller","Slow Hands"
"313",2017-10-07,13,"Liam Payne Featuring Quavo","Wild Thoughts"
"314",2017-10-07,14,"Shawn Mendes","Strip That Down"
"315",2017-10-07,15,"Demi Lovato","There's Nothing Holdin' Me Back"
"316",2017-10-07,16,"Sam Smith","Sorry Not Sorry"
"317",2017-10-07,17,"21 Savage","Too Good At Goodbyes"
"318",2017-10-07,18,"Ed Sheeran","Bank Account"
"319",2017-10-07,19,"J Balvin & Willy William Featuring Beyonce","Shape Of You"
"320",2017-10-07,20,"Bruno Mars","Mi Gente"
"321",2017-10-07,21,"Lil Uzi Vert","That's What I Like"
"322",2017-10-07,22,"Gucci Mane Featuring Migos","XO TOUR Llif3"
"323",2017-10-07,23,"Maroon 5 Featuring SZA","I Get The Bag"
"324",2017-10-07,24,"Sam Hunt","What Lovers Do"
"325",2017-10-07,25,"Kendrick Lamar","Body Like A Back Road"
"326",2017-10-07,26,"P!nk","Humble."
"327",2017-10-07,27,"Khalid","What About Us"
"328",2017-10-07,28,"Kesha","Young Dumb & Broke"
"329",2017-10-07,29,"The Chainsmokers & Coldplay","Praying"
"330",2017-10-07,30,"Imagine Dragons","Something Just Like This"
"331",2017-10-07,31,"Khalid","Thunder"
"332",2017-10-07,32,"Kane Brown Featuring Lauren Alaina","Location"
"333",2017-10-07,33,"SZA Featuring Travis Scott","What Ifs"
"334",2017-10-07,34,"Taylor Swift","Love Galore"
"335",2017-10-07,35,"Justin Bieber + BloodPop","...Ready For It?"
"336",2017-10-07,36,"Post Malone Featuring Quavo","Friends"
"337",2017-10-07,37,"James Arthur","Congratulations"
"338",2017-10-07,38,"Childish Gambino","Say You Won't Let Go"
"339",2017-10-07,39,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","Redbone"
"340",2017-10-07,40,"Dustin Lynch","I'm The One"
"341",2017-10-07,41,"Kendrick Lamar Featuring Rihanna","Small Town Boy"
"342",2017-10-07,42,"Zedd & Alessia Cara","Loyalty."
"343",2017-10-07,43,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean","Stay"
"344",2017-10-07,44,"Luke Combs","Feels"
"345",2017-10-07,45,"Cheat Codes Featuring Demi Lovato","When It Rains It Pours"
"346",2017-10-07,46,"GoldLink Featuring Brent Faiyaz & Shy Glizzy","No Promises"
"347",2017-10-07,47,"Jon Pardi","Crew"
"348",2017-10-07,48,"Future","Heartache On The Dance Floor"
"349",2017-10-07,49,"Thomas Rhett","Mask Off"
"350",2017-10-07,50,"XXXTENTACION","Unforgettable"
"351",2017-10-07,51,"blackbear","Jocelyn Flores"
"352",2017-10-07,52,"SZA","Do Re Mi"
"353",2017-10-07,53,"Dua Lipa","The Weekend"
"354",2017-10-07,54,"Tay-K","New Rules"
"355",2017-10-07,55,"Kodak Black","The Race"
"356",2017-10-07,56,"Marshmello Featuring Khalid","Transportin'"
"357",2017-10-07,57,"Travis Scott","Silence"
"358",2017-10-07,58,"Lil Uzi Vert Featuring Nicki Minaj","Butterfly Effect"
"359",2017-10-07,59,"Kodak Black Featuring XXXTENTACION","The Way Life Goes"
"360",2017-10-07,60,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko","Roll In Peace"
"361",2017-10-07,61,"Halsey","It's A Vibe"
"362",2017-10-07,62,"Macklemore Featuring Skylar Grey","Bad At Love"
"363",2017-10-07,63,"Zayn Featuring Sia","Glorious"
"364",2017-10-07,64,"Camila Cabello Featuring Young Thug","Dusk Till Dawn"
"365",2017-10-07,65,"XXXTENTACION Featuring Trippie Redd","Havana"
"366",2017-10-07,66,"Niall Horan","F**k Love"
"367",2017-10-07,67,"Gucci Mane Featuring The Weeknd","Too Much To Ask"
"368",2017-10-07,68,"Kenny Chesney","Curve"
"369",2017-10-07,69,"Lil Uzi Vert","All The Pretty Girls"
"370",2017-10-07,70,"Wisin Featuring Ozuna","Sauce It Up"
"371",2017-10-07,71,"Lil Pump","Escapate Conmigo"
"372",2017-10-07,72,"Maluma","Gucci Gang"
"373",2017-10-07,73,"Jacquees","Felices Los 4"
"374",2017-10-07,74,"Jason Aldean","B.E.D."
"375",2017-10-07,75,"LANCO","They Don't Know"
"376",2017-10-07,76,"Carly Pearce","Greatest Love Story"
"377",2017-10-07,77,"Old Dominion","Every Little Thing"
"378",2017-10-07,78,"Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals","No Such Thing As A Broken Heart"
"379",2017-10-07,79,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black","Back To You"
"380",2017-10-07,80,"Meek Mill Featuring Chris Brown & Ty Dolla $ign","Pills And Automobiles"
"381",2017-10-07,81,"Kelly Clarkson","Whatever You Need"
"382",2017-10-07,82,"Young Thug Featuring Future","Love So Soft"
"383",2017-10-07,83,"Kip Moore","Relationship"
"384",2017-10-07,84,"Chris Brown","More Girls Like You"
"385",2017-10-07,85,"BTS","Questions"
"386",2017-10-07,86,"Luke Bryan","DNA"
"387",2017-10-07,87,"Selena Gomez Featuring Gucci Mane","Light It Up"
"388",2017-10-07,88,"Blake Shelton","Fetish"
"389",2017-10-07,89,"Ed Sheeran","I'll Name The Dogs"
"390",2017-10-07,90,"Maren Morris","Perfect"
"391",2017-10-07,91,"Brothers Osborne","I Could Use A Love Song"
"392",2017-10-07,92,"Lorde Featuring Khalid, Post Malone & SZA","It Ain't My Fault"
"393",2017-10-07,93,"Midland","Homemade Dynamite"
"394",2017-10-07,94,"Chris Janson","Drinkin' Problem"
"395",2017-10-07,95,"Billy Currington","Fix A Drink"
"396",2017-10-07,96,"XXXTENTACION","Do I Make You Wanna"
"397",2017-10-07,97,"G-Eazy Featuring A$AP Rocky & Cardi B","Everybody Dies In Their Nightmares"
"398",2017-10-07,98,"Bhad Bhabie","No Limit"
"399",2017-10-07,99,"The Revivalists","These Heaux"
"400",2017-10-07,100,"Metro Boomin Featuring Offset & Drake","Wish I Knew You"
"401",2017-10-14,1,"Cardi B","Cardi B & NFL Star Stefon Diggs Get Cozy at New York Knicks Game Amid Dating Rumors"
"402",2017-10-14,2,"Post Malone Featuring 21 Savage","Bodak Yellow (Money Moves)"
"403",2017-10-14,3,"Taylor Swift","Rockstar"
"404",2017-10-14,4,"Logic Featuring Alessia Cara & Khalid","Look What You Made Me Do"
"405",2017-10-14,5,"Luis Fonsi & Daddy Yankee Featuring Justin Bieber","1-800-273-8255"
"406",2017-10-14,6,"French Montana Featuring Swae Lee","Despacito"
"407",2017-10-14,7,"Portugal. The Man","Unforgettable"
